full_name,a,e,i,H,diameter,albedo,class,first_obs
248538 (2005 WU185),2.433,0.1202,9.48,16.89,2.002,0.121,MBA,2001-10-21
       (2010 FG52),3.121,0.1464,8.73,17.2,2.886,0.058,MBA,2009-12-16
484936 (2009 SA172),3.148,0.0729,18.5,16.27,3.218,0.056,MBA,2009-09-21
109022 (2001 QY7),3.047,0.0653,8.65,14.72,4.787,0.147,MBA,2001-08-11
  6845 Mansurova (1976 JG2),2.276,0.1477,6.69,13.94,4.757,0.311,MBA,1955-03-22
296982 (2010 EP104),2.395,0.1795,5.98,17.73,1.854,0.051,MBA,1999-03-20
 75675 (2000 AB96),2.608,0.1236,15.3,14.68,3.789,0.257,MBA,2000-01-04
197199 (2003 VS11),3.082,0.056,11.06,15.45,5.4,0.061,MBA,2000-03-05
271807 (2004 TB95),3.259,0.0597,6.05,15.43,5.879,0.047,OMB,1992-10-03
135051 (2001 OZ55),3.137,0.0868,9.61,14.71,9.469,0.034,MBA,2001-07-22
244495 (2002 TB76),2.795,0.2192,9.44,16.1,4.019,0.064,MBA,2002-09-06
117161 (2004 QT17),2.865,0.2659,13.2,14.87,3.358,0.226,MBA,1998-06-20
 16989 (1999 CX),2.227,0.161,3.53,14.91,3.263,0.245,MBA,1990-09-16
519048 (2010 KM48),3.099,0.1293,1.37,16.45,2.613,0.086,MBA,2003-03-24
 35613 (1998 HS147),2.973,0.0592,10.67,14.08,6.048,0.16,MBA,1990-12-18
 64890 (2001 YE76),2.977,0.0631,6.07,15.24,7.006,0.033,MBA,1995-10-21
195784 (2002 PZ163),3.158,0.0641,11.39,15.3,4.068,0.107,MBA,2000-03-26
 34066 (2000 OS52),3.122,0.1366,2.4,13.92,8.316,0.077,MBA,1997-02-08
       (2010 FZ103),2.871,0.1323,18.52,17.2,2.055,0.08,MBA,2010-03-17
       (2010 LY126),3.136,0.2206,8.7,17.21,2.081,0.085,MBA,2010-06-15
342180 (2008 SL185),2.628,0.1142,9.31,16.66,3.197,0.048,MBA,2006-02-02
 94998 (2001 YL138),2.526,0.107,13.02,15.12,4.631,0.131,MBA,1999-06-09
 60392 (2000 AK227),2.269,0.1522,5.41,16.06,2.091,0.212,MBA,1993-01-26
395212 (2010 JM68),2.776,0.2638,23.93,16.59,1.661,0.212,MBA,2001-09-11
 71905 (2000 WF27),2.691,0.1738,9.92,14.98,6.341,0.05,MBA,1990-10-17
150092 (4156 P-L),3.146,0.083,2.21,15.59,4.747,0.054,MBA,1960-09-24
   629 Bernardina (A907 EL),3.132,0.1605,9.24,10.1,35.087,0.14,MBA,1907-03-07
241511 (2009 DK41),3.22,0.0627,9.54,15.37,5.108,0.056,OMB,2000-09-05
402035 (2003 SO209),3.205,0.1701,12.49,16.37,4.103,0.035,OMB,2003-09-17
 65825 (1996 VF19),3.17,0.0662,8.34,15.22,4.667,0.067,MBA,1996-11-07
 13659 (1997 FH4),2.451,0.0769,11.52,13.84,2.841,0.725,MBA,1979-09-20
187254 (2005 SL237),3.007,0.0311,14.39,15.33,5.24,0.054,MBA,2002-02-12
 41149 (1999 VQ144),3.127,0.1103,4.26,14.32,7.945,0.07,MBA,1998-08-17
    32 Pomona (A854 UA),2.587,0.0816,5.52,7.79,80.76,0.2564,MBA,1864-01-07
       (2009 XD),2.451,0.6733,31.45,18.78,0.615,0.154,APO,2009-12-06
523632 (2009 UX17),1.189,0.0835,10.8,21.51,0.309,0.042,AMO,2009-10-22
248368 (2005 QO170),2.885,0.1929,11.85,15.72,3.755,0.079,MBA,2000-09-23
232252 (2002 PZ65),3.132,0.2707,24.65,15.39,5.478,0.059,MBA,2002-08-05
 19791 (2000 RV15),3.035,0.0987,8.48,13.43,7.421,0.202,MBA,1989-08-01
 94687 (2001 XW25),2.603,0.1081,13.81,15.0,4.094,0.152,MBA,2000-09-29
 56767 (2000 OP26),2.55,0.1585,6.15,14.97,6.098,0.069,MBA,1999-03-15
 28594 Ronaldballouz (2000 EF134),2.763,0.183,9.1,13.76,10.788,0.061,MBA,1997-10-29
379454 (2010 CG118),2.802,0.0317,3.81,16.87,2.645,0.048,MBA,2003-09-19
163305 (2002 JR35),2.676,0.2772,3.13,15.92,3.508,0.069,MBA,1994-10-29
248747 (2006 QY168),2.637,0.1174,9.18,16.39,2.363,0.115,MBA,2001-07-13
425509 (2010 JM34),3.193,0.081,17.14,16.08,4.326,0.086,MBA,2009-02-03
502265 (2015 BM122),3.031,0.0479,5.54,16.59,3.369,0.129,MBA,2000-05-04
209011 (2003 BO73),3.178,0.099,5.83,15.56,4.344,0.078,MBA,2001-10-16
 36272 (2000 AJ51),3.254,0.043,7.97,13.07,12.396,0.096,OMB,1995-01-02
131009 (2000 XP9),2.624,0.112,16.45,14.99,2.955,0.321,MBA,2000-11-19
  8249 Gershwin (1980 GG),2.381,0.1809,6.1,14.88,7.108,0.053,MBA,1980-04-12
 28209 Chatterjee (1998 XC63),2.645,0.0866,9.7,14.31,5.218,0.163,MBA,1991-03-08
 34552 Belousova (2000 SV242),3.096,0.09,1.83,14.69,8.609,0.024,MBA,1992-02-29
 97478 (2000 CP53),2.975,0.0209,8.94,14.0,6.213,0.182,MBA,1998-11-16
411097 (2009 WS29),3.008,0.1048,8.88,16.57,3.614,0.045,MBA,2008-07-29
233683 (2008 RG113),5.211,0.0939,5.94,13.87,10.171,0.047,TJN,1999-12-17
134151 (2005 AL58),2.759,0.0982,8.26,15.43,5.478,0.054,MBA,2001-02-16
363960 (2005 UT58),2.585,0.3205,10.58,16.64,2.075,0.103,MBA,2001-11-20
 52703 Bernardleblanc (1998 FW72),3.091,0.1295,0.93,14.62,6.331,0.053,MBA,1996-12-28
122674 (2000 RG103),2.676,0.1172,13.66,15.72,2.299,0.254,MBA,2000-09-05
 35891 (1999 JS81),2.421,0.2022,11.34,14.38,5.127,0.169,MBA,1998-01-24
134829 (2000 HV41),3.083,0.2772,11.11,15.5,4.734,0.079,MBA,2000-04-04
 36217 (1999 TN216),3.15,0.0946,4.75,14.24,9.404,0.038,MBA,1991-04-19
445068 (2008 SE268),3.966,0.2209,3.24,15.55,4.717,0.066,OMB,2007-09-04
120221 (2004 FJ18),3.069,0.2421,9.3,14.9,3.682,0.157,MBA,2000-10-01
 68697 (2002 CR176),2.341,0.1891,1.37,16.29,1.527,0.19,MBA,1995-02-06
110718 (2001 TA231),3.023,0.0574,9.61,14.66,3.67,0.215,MBA,1993-01-29
 17152 (1999 JA118),2.488,0.0496,8.78,13.04,8.324,0.345,MBA,1977-12-07
161600 (2005 TE28),2.337,0.2078,5.53,17.08,2.811,0.047,MBA,1998-11-24
 48417 (1988 CQ2),3.044,0.2423,3.22,14.46,6.83,0.079,MBA,1988-01-19
274909 (2009 SD134),3.145,0.1773,7.55,16.16,4.416,0.04,MBA,2003-09-04
314444 (2005 VN50),3.035,0.2335,9.25,15.88,2.027,0.271,MBA,2000-11-05
 36107 (1999 RV119),2.996,0.0729,14.5,14.46,8.272,0.031,MBA,1994-09-05
 70381 (1999 RZ213),2.346,0.1584,3.43,16.16,3.313,0.084,MBA,1991-02-19
       (2010 MA98),3.967,0.1894,11.49,16.5,4.605,0.025,OMB,2010-06-28
370575 (2003 UR254),3.081,0.0613,6.47,16.16,5.031,0.025,MBA,2003-09-28
 87122 (2000 LB36),2.523,0.2479,11.45,15.32,2.49,0.285,MBA,2000-05-28
105017 (2000 KT13),3.054,0.062,11.79,15.13,3.443,0.124,MBA,2000-05-26
115517 (2003 UL37),2.856,0.176,11.35,14.1,4.758,0.163,MBA,1998-09-20
287082 (2002 RS56),2.691,0.2624,7.82,16.14,3.976,0.049,MBA,2002-08-11
359231 (2009 DO142),2.568,0.1461,14.23,16.82,2.782,0.052,MBA,1994-09-27
231643 (2009 VJ2),2.761,0.324,24.26,15.61,1.53,0.434,MBA,2000-11-21
 77121 (2001 DD88),2.479,0.0622,10.39,15.28,2.462,0.35,MBA,1999-10-14
 27344 Vesevlada (2000 DM2),2.64,0.1502,2.92,15.23,2.757,0.176,MBA,1996-03-24
 25148 (1998 SE47),3.0,0.0752,5.75,13.88,6.951,0.146,MBA,1993-11-11
       (2010 MP110),3.181,0.301,20.43,17.38,2.041,0.061,MBA,2010-06-30
       (2015 FQ343),3.245,0.156,15.07,15.57,4.601,0.036,OMB,2001-11-21
252893 (2002 JK88),3.237,0.0384,22.55,15.11,5.415,0.066,OMB,2002-04-09
432909 (2011 QL28),3.127,0.233,11.66,16.22,4.389,0.03,MBA,2000-09-24
236302 (2006 AA98),2.806,0.1364,13.94,15.98,4.616,0.04,MBA,1993-05-20
 79873 (1998 YJ10),2.675,0.1985,11.82,14.59,3.279,0.217,MBA,1998-11-25
  5987 Liviogratton (1975 LQ),2.433,0.1556,5.42,13.95,4.669,0.204,MBA,1975-06-06
 64110 (2001 TZ8),2.341,0.1129,6.01,15.06,2.511,0.307,MBA,1993-06-22
128492 (2004 PH15),3.093,0.0655,12.26,15.0,4.581,0.111,MBA,2000-12-27
279384 (2010 CB60),3.043,0.0833,13.55,15.84,4.651,0.047,MBA,2005-03-10
123460 (2000 WQ141),2.717,0.2308,10.93,14.59,7.257,0.077,MBA,2000-10-07
403522 (2010 CB83),4.022,0.1606,3.26,15.48,5.612,0.043,OMB,2002-02-11
 98808 (2000 YP118),2.613,0.1655,12.66,14.71,5.458,0.086,MBA,1994-04-07
 44573 (1999 FZ51),3.069,0.1389,2.26,14.21,7.959,0.058,MBA,1991-10-04
136024 (2002 VK87),2.74,0.1068,5.84,15.12,5.448,0.078,MBA,2001-06-16
 39306 (2001 SV249),3.19,0.1359,2.81,14.19,7.865,0.05,MBA,1990-11-19
111539 (2001 YO130),2.988,0.118,13.01,14.94,4.809,0.101,MBA,1990-11-09
 13387 Irus (1998 YW6),5.204,0.0958,7.25,12.23,18.989,0.093,TJN,1996-09-11
242062 (2002 TE3),2.891,0.2042,8.04,15.66,4.733,0.066,MBA,2002-10-01
 84931 (2003 WG73),3.126,0.1407,18.16,14.18,8.335,0.07,MBA,1997-10-30
140475 (2001 TF137),3.02,0.1084,11.7,14.89,3.85,0.189,MBA,1998-01-07
189300 (2005 VU123),2.297,0.2438,11.96,16.13,3.177,0.076,MBA,1998-12-12
       (2010 BH69),3.142,0.1036,25.54,17.03,2.426,0.075,MBA,2008-12-31
415702 (1997 SD14),3.127,0.2201,10.15,16.41,3.006,0.054,MBA,1997-09-28
 53469 (2000 AX8),5.128,0.0641,7.36,12.57,18.453,0.057,TJN,1989-01-31
123935 (2001 EX14),3.093,0.0818,17.32,14.7,7.79,0.055,MBA,1997-07-06
 31410 (1999 AY5),2.259,0.1277,7.02,15.09,3.398,0.202,MBA,1955-04-13
 99063 (2001 FZ1),2.775,0.2395,9.78,14.8,6.856,0.064,MBA,1999-11-03
 35350 Lespaul (1997 LP14),3.197,0.1223,5.1,14.06,9.262,0.062,MBA,1993-10-10
171861 (2001 OP102),2.636,0.1052,11.25,15.52,5.013,0.058,MBA,1995-01-08
 82621 (2001 OC102),3.169,0.1314,15.74,14.61,7.524,0.065,MBA,1993-05-26
267207 (2000 SG251),2.712,0.1265,8.1,16.0,3.492,0.069,MBA,1991-09-30
219595 (2001 TR39),2.535,0.1133,10.72,15.6,2.599,0.198,MBA,1999-03-21
 44323 (1998 RT44),2.689,0.1039,13.71,13.93,4.859,0.272,MBA,1992-03-08
375995 (2009 XP24),2.715,0.1715,12.53,16.12,3.693,0.057,MBA,2006-02-24
       (2010 MM92),2.562,0.1546,8.04,18.16,1.337,0.248,MBA,2010-06-28
  5060 Yoneta (1988 BO5),2.611,0.1915,1.97,14.25,8.402,0.076,MBA,1957-11-26
251464 (2008 CC196),3.103,0.1147,15.63,15.6,4.607,0.053,MBA,1997-01-11
467554 (2007 TP119),3.08,0.1215,3.47,16.55,3.755,0.045,MBA,1999-03-20
 30500 (2000 QC193),3.092,0.1256,2.55,14.18,8.002,0.076,MBA,1992-02-05
103788 (2000 DA10),3.006,0.1509,0.69,15.49,4.55,0.065,MBA,1995-02-24
 46997 (1998 TL29),3.071,0.124,9.41,14.54,4.95,0.125,MBA,1960-10-25
 51725 (2001 KV39),3.012,0.1838,18.24,14.35,6.836,0.087,MBA,1998-11-14
400074 (2006 SF209),2.653,0.295,14.81,16.92,2.634,0.064,MBA,2006-09-26
223262 (2003 FK114),2.572,0.1744,9.09,15.71,4.61,0.057,MBA,1994-02-16
 81649 (2000 HW83),2.765,0.1453,18.26,14.89,4.098,0.183,MBA,1998-12-19
304857 (2007 RP72),2.39,0.1659,2.58,17.89,1.579,0.054,MBA,2006-02-21
171613 (2000 AZ257),2.642,0.1908,14.18,15.72,4.156,0.071,MBA,1996-04-21
  8534 Knutsson (1993 FJ10),2.881,0.0424,2.98,13.11,7.284,0.253,MBA,1981-11-25
 37072 (2000 UF52),2.567,0.0805,2.69,14.51,3.346,0.361,MBA,1998-02-25
 15316 Okagakimachi (1993 HH1),2.291,0.1659,0.76,14.68,3.314,0.284,MBA,1992-01-01
 62124 (2000 RP103),2.558,0.0856,14.23,14.09,4.794,0.254,MBA,1999-06-14
111351 (2001 XZ107),3.1,0.2281,21.32,14.44,7.461,0.073,MBA,2000-06-08
262170 (2006 SK112),2.738,0.0565,1.07,16.65,3.105,0.046,MBA,1997-10-09
 65419 (2002 TB50),2.577,0.1179,3.94,15.26,2.413,0.145,MBA,1993-07-23
       (2010 LO124),2.744,0.2236,29.2,17.6,2.407,0.064,MBA,2010-06-14
 66645 (1999 RN232),2.845,0.2851,17.65,14.39,6.955,0.039,MBA,1996-02-24
       (2010 PS37),2.925,0.0702,12.32,16.63,2.791,0.075,MBA,2004-03-26
 86178 (1999 RP218),3.05,0.0695,7.15,15.29,4.63,0.075,MBA,1999-09-04
 11447 (1978 UL4),2.629,0.195,12.86,13.95,5.292,0.251,MBA,1978-10-08
507171 (2010 DP80),3.062,0.1402,9.86,16.67,3.396,0.042,MBA,2003-01-25
245569 (2005 UY153),3.073,0.1672,0.57,15.95,2.817,0.117,MBA,2003-04-01
441974 (2010 MQ92),3.024,0.1601,8.46,16.95,3.432,0.029,MBA,2007-01-27
233986 (1995 SV33),3.134,0.162,15.42,15.9,4.296,0.038,MBA,1995-09-17
 61814 (2000 QX189),2.38,0.0921,5.31,15.33,2.22,0.248,MBA,1999-04-12
107637 (2001 EO13),2.674,0.0588,21.67,15.22,2.773,0.252,MBA,1999-10-13
313905 (2004 NB29),3.039,0.182,16.79,15.97,4.912,0.038,MBA,2004-06-16
       (2010 OR54),3.132,0.2605,21.29,16.8,2.22,0.068,MBA,2010-07-23
128448 (2004 NU23),3.212,0.1564,20.19,14.27,7.611,0.084,OMB,1999-07-22
306005 (2010 CN10),2.969,0.2285,13.06,15.7,4.909,0.042,MBA,2004-01-31
247990 (2004 CG118),2.994,0.1231,2.68,16.47,2.738,0.048,MBA,2001-05-24
 87965 (2000 TX28),2.629,0.16,12.87,14.32,5.671,0.182,MBA,1987-10-21
151322 (2002 CO136),2.938,0.0732,17.47,15.3,5.43,0.066,MBA,2000-09-10
 30034 (2000 DU76),2.186,0.082,1.21,16.34,1.596,0.303,MBA,1971-03-24
 82040 (2000 SZ189),3.214,0.0994,14.98,13.47,13.054,0.078,OMB,2000-08-03
       (2010 MD29),2.887,0.1885,16.86,17.97,1.771,0.098,MBA,2010-06-15
 12667 (1979 DF),2.657,0.1667,14.75,13.54,9.24,0.119,MBA,1977-10-18
 83614 (2001 SU286),2.716,0.1356,12.79,15.52,2.287,0.194,MBA,2000-05-07
 66723 (1999 TE107),2.633,0.114,13.39,14.29,4.054,0.27,MBA,1992-01-07
487236 (2014 PC11),3.456,0.0436,8.76,16.09,3.267,0.072,OMB,2010-02-13
 88710 (2001 SL9),1.061,0.2701,21.9,17.67,0.76,0.281,APO,1954-11-27
 43010 (1999 UE41),2.736,0.0899,13.21,14.16,3.883,0.354,MBA,1990-11-14
 21129 (1993 BJ7),2.606,0.0764,15.22,13.66,5.13,0.222,MBA,1993-01-23
109319 (2001 QC138),2.728,0.102,12.68,15.25,2.882,0.256,MBA,1996-10-07
169209 (2001 RS101),3.08,0.0963,12.11,15.12,4.877,0.081,MBA,2001-08-20
494153 (2016 CU259),3.07,0.0484,7.95,15.99,4.864,0.098,MBA,2002-10-10
 71940 (2000 WC78),2.33,0.0956,3.34,16.25,2.849,0.072,MBA,1998-01-23
222077 (1999 KK7),2.678,0.1526,13.1,15.64,4.804,0.058,MBA,1999-05-17
152572 (1993 TE23),2.433,0.0989,5.69,16.59,2.994,0.054,MBA,1993-10-09
   229 Adelinda (A882 QB),3.422,0.1364,2.08,9.36,105.912,0.035,OMB,1885-01-19
 62379 (2000 SA155),2.969,0.0914,10.14,14.64,5.173,0.095,MBA,1998-03-25
 26812 (1985 RQ2),2.181,0.1862,4.25,15.31,2.593,0.457,MBA,1982-09-15
 62667 (2000 TC),2.633,0.1725,11.34,14.25,9.358,0.057,MBA,1987-09-03
 64119 (2001 TX17),2.377,0.1409,2.35,16.08,4.036,0.043,MBA,1993-08-14
407016 Danielerdag (2009 SZ21),3.164,0.2488,14.07,16.13,3.439,0.059,MBA,2004-12-15
140170 (2001 SL182),2.625,0.1755,18.24,15.52,3.73,0.096,MBA,2001-08-13
 41421 (2000 AZ240),2.595,0.295,13.75,14.74,4.351,0.092,MBA,1986-08-07
126814 (2002 EE44),2.777,0.1733,8.82,15.66,4.802,0.058,MBA,1993-05-20
187403 (2005 VB38),3.178,0.1556,4.94,15.71,3.736,0.088,MBA,1999-10-02
290419 (2005 TL64),3.033,0.1659,0.48,16.68,2.649,0.063,MBA,2000-11-27
 96919 (1999 TU113),2.695,0.1713,10.95,15.38,4.989,0.065,MBA,1999-09-05
 37250 Juliemitchell (2000 WX183),3.16,0.1651,9.19,14.15,9.094,0.054,MBA,1998-04-28
232657 (2003 WV37),3.14,0.2112,9.5,15.89,4.582,0.058,MBA,2002-08-30
       (2010 MK91),3.154,0.2768,15.59,16.87,2.017,0.083,MBA,2005-12-06
284934 (2010 DN26),3.163,0.2598,27.98,15.4,5.386,0.046,MBA,2002-01-13
 33288 Shixian (1998 KL4),3.15,0.0798,21.7,13.51,10.021,0.077,MBA,1995-11-29
